21:23:12  |  Core  |  Warning  |  Widget property 'WordWrap' not found [Kenshi_OptionsPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget property 'FontName' not found [Kenshi_MainPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget property 'TextAlign' not found [Kenshi_MainPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget property 'TextColour' not found [Kenshi_MainPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget property 'TextShadow' not found [Kenshi_MainPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget property 'TextShadowColour' not found [Kenshi_MainPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_MainPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_MainPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_MainPanel.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:28:02  |  Core  |  Warning  |  Widget with name 'LifeBar10' not found. [Kenshi_MainPanel.layout]  |  D:\kenshi\kenshi-dependencies\mygui\Common\BaseLayout/BaseLayout.h  |  57
21:28:02  |  Core  |  Warning  |  Widget with name 'ResearchBenchMessage' not found. [Kenshi_OverviewWindow.layout]  |  D:\kenshi\kenshi-dependencies\mygui\Common\BaseLayout/BaseLayout.h  |  57
21:28:03  |  Core  |  Warning  |  Widget property 'MoveToClick' not found []  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:43:28  |  Core  |  Warning  |  Widget property 'FontName' not found []  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:43:28  |  Core  |  Warning  |  Widget property 'WordWrap' not found []  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:43:28  |  Core  |  Warning  |  Widget property 'Static' not found []  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:45:13  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
